一丁不识	形容一个字也不认识。
添枝加叶	在树干上添上些枝叶。比喻叙述事情或转述别人的话，为了夸大，添上原来没有的内容。
添枝增叶	比喻接连不断地附加。同“添枝接叶”。
添枝接叶	比喻接连不断地附加。
添油加醋	比喻叙述事情或转述别人的话，为了夸大，添上原来没有的内容。
添油炽薪	犹言火上加油。比喻人为地激化矛盾，使事态严重。
添盐着醋	比喻叙述事情或转述别人的话，为了夸大，添上原来没有的内容。同“添油加醋”。
添砖加瓦	比喻做一些工作，尽一点力量。
添醋加油	比喻叙述事情或转述别人的话，为了夸大，添上原来没有的内容。同“添油加醋”。
清丽俊逸	指诗文清美新颖，不落俗套。
清交素友	素友：真诚的朋友。交往纯洁，友情纯朴。
清介有守	守：操守。指人的品格高尚而有节操。
清仓查库	检查、清理仓库物资。
清净寂灭	指道教的清净无为与佛家的涅盘寂灭之说。
清净无为	道家语。指一切听其自然，人力不必强为。
清原正本	清理水的源头，扶正树的根。比喻从根本解决问题。
清和平允	平允：性格平和。形容人的性格温和，容易接近。
清圣浊贤	汉代末年因饥荒严禁酿酒，饮者讳言酒，称酒之清者为圣人，浊者为贤人。用来指酒。
清夜扪心	清：清静；扪：按摸。指深夜不眠，进行反省。
清天白日	指大白天。
清如冰壶	冰壶：盛冰的玉壶，喻指清白洁净。比喻为人高洁，不同凡俗。也比喻诗文格调清新。
清宫除道	清、除：洒水扫除；宫：古代房屋的通称。打扫房屋和道路。指准备迎接贵宾到来。
清尘浊水	清尘：喻他人；浊水：喻自己。比喻相隔很远，会面没有希望。
清平世界	清平：安定，太平；世界：这里是世道的意思。指社会安定，天下太平。
清庙之器	原指宗庙里的祭器。后比喻可以担当国家重任的人。
清廉正直	清白廉洁，为人正直不阿。
清微淡远	清雅微妙，淡泊深远。
清心寡欲	清：清净；寡：少：欲：欲望，需求。保持心地清净，减少欲念。
清心少欲	指保持心地清净，少生欲念。
清心省事	指心境清静，政事杂务简省。
清新俊逸	指诗文清美新颖，不落俗套。
清旷超俗	指清明旷达，超脱于世俗之外。
清明在躬	清明：指人的神志很清醒；躬：指自身。形容人的心地光明正大，头脑清晰明辨。
清曹峻府	曹、府：官府。泛指庄严肃穆的官署。
清曹竣府	曹：官府。庄严肃静的官府。
清歌妙舞	指清亮的歌声，美妙的舞蹈。
清歌曼舞	清亮的歌声，柔美的舞蹈。
清歌雅舞	歌声清新悦耳，舞姿轻盈优美。
清正廉明	比喻为官廉洁公正，不贪污徇私。
清正廉洁	品行端正，为人正直廉洁。
清水冷灶	形容生活清苦。
清水衙门	比喻没有油水的机构或地方。
清汤寡水	形容菜肴水太多，粗糙没有味道。
清洌可鉴	洌：水清。鉴：照。清澈得可以照见人影。
清浊同流	清水与浊水一渠同流。比喻美恶混杂，良莠不分。
清浊难澄	清水和浊水混在一起，使人很难分清楚。
清浑皁白	比喻事物的本来面目、是非、情由等。
清清楚楚	清晰明白有条理。
清清爽爽	指整洁干净或清新凉爽。
清清白白	品行纯洁，没有污点，特指廉洁。
清清静静	安安静静，不嘈杂。
清渭浊泾	渭河水清，泾河水浑，泾河的水流入渭河时，清浊不混。比喻界限清楚或是非分明。
清源正本	清源：从源头上清理；正本：从根本上整顿。从源头上清理，从根本上整顿。比喻从根本上加以整顿清理。
清灰冷火	没吃没喝。常用以形容贫困冷清的景象。同“清灰冷灶”。
清灰冷灶	形容生活窘迫，久不举火。
清简寡欲	欲：欲望。保持心地清净，很少欲望。
清耳悦心	耳朵为之清宁，心情为之欢悦。形容声音美妙动听。
清茶淡话	清：清淡。喝着清茶随意闲聊。形容待客亲切随和。
清茶淡饭	清：清淡。形容饭食非常简单。
清莹秀彻	莹：光洁明亮；彻：通透。清洁光亮、秀丽透彻。形容诗文意境清新，词藻华美。
清莹秀澈	清洁光亮、秀丽澄澈。
清虚洞府	指月宫。
清规戒律	原指佛教徒所遵守的规则和戒条。现比喻束缚人的繁琐不合理的规章制度。
清议不容	清议：公正的评论。行为不正，舆论不容许。
清词丽句	指清新美丽的词句。
清词妙句	清新绝妙的诗文词句。形容诗词所用的语言清新华美。
清谈高论	高妙清正而空泛不实的言论。
清贫如洗	穷得象用水洗过似的，什么都没有。形容十分贫穷。
清贫寡欲	清寒贫苦，欲念甚少。
清跸传道	清跸：帝王出行时开路清道，禁止通行。指帝王或大官出巡时护卫传呼清道，禁止行人通过。
清身洁己	指保持自身节操，身体力行。
清辞丽句	指清新美丽的词句。同“清词丽句”。
清辞丽曲	指清新美丽的词曲。同“清词丽句”。
清辞妙句	喜事从天上掉下来。比喻突然遇到意想不到的喜事。
清都紫府	神话传说中天帝所居之宫阙。同“清都紫微”。
清都紫微	神话传说中天帝所居之宫阙。
清都绛阙	神话传说中天帝所居之宫阙。同“清都紫微”。
清酌庶羞	清醇美酒，多样佳肴。指祭奠用品。
清锅冷灶	没吃没喝。常用以形容贫困冷清的景象。同“清灰冷灶”。
清闲自在	清静空闲，无拘无束。形容生活安闲舒适。
清雅绝尘	洁净高雅，一尘不染。
清静寡欲	清：清净；寡：少：欲：欲望，需求。保持心地清净，减少欲念。
清静无为	道家语。春秋时期道家的一种哲学思想和治术。指一切听其自然，人力不必强为。
清音幽韵	比喻文章造诣极深。
清风两袖	衣袖中除清风外，别无所有。比喻做官廉洁。也比喻穷得一无所有。
清风亮节	比喻人品格高尚，节操坚贞。
清风劲节	比喻人的品格清正，节操坚贞。
清风峻节	清廉正直的风尚，高尚峻伟的气节。
清风明月	只与清风、明月为伴。比喻不随便结交朋友。也比喻清闲无事。
清风朗月	比喻不随便结交朋友。也比喻清闲无事。同“清风明月”。
清风高节	比喻人品格纯洁，节操高尚。
清风高谊	风格高尚，友谊深厚。
渊亭山立	比喻人品德如渊水深沉，如高山耸立。同“渊渟岳峙”。
渊停山立	喻人品德如渊水深沉，如高山耸立。
渊图远算	深谋远虑。
渊思寂虑	深入而冷静地思考。
渊涌风厉	如水之涌，如风之疾。比喻谈吐滔滔不绝。
渊涓蠖濩	刻镂之形。借指华丽的宫殿。
渊清玉絜	如渊之清，如玉之洁。比喻人品高尚。
渊渟岳峙	喻人品德如渊水深沉，如高山耸立。
渊渟岳立	喻人品德如渊水深沉，如高山耸立。
渊渟泽汇	比喻事物的集聚汇合。
渊源有自	亦作“渊源有自来”。①有根据，有来源。②指有根底。
渊蜎蠖伏	刻镂之形。借指华丽的宫殿。
渊谋远略	深谋远略。
渊鱼丛爵	比喻为政不善，结果驱使人民投向敌方。爵，古同“雀”。
渊鱼丛雀	把鱼赶进深潭，把雀赶到丛林。原比喻统治者施行暴政，百姓逃往别国。现也比喻把可以团结的人赶到敌方去。
渎货无厌	渎：贪污；厌：满足。贪污财货永无满足。
渐不可长	指刚露头的不好事物不能容许其发展滋长。
渐仁摩义	渐：浸润；摩：磨砺。用仁义感化教育百姓。
渐入佳境	佳：好；境：境地。原指甘蔗下端比上端甜，从上到下，越吃越甜。后比喻境况逐渐好转或兴趣逐渐浓厚。
渐至佳境	比喻境况逐渐好转或兴趣逐渐浓厚。同“渐入佳境”。
渑池之功	渑池：古城名，在今河南渑池县南。本指战国时赵国蔺相如在渑池会上不畏秦王，为赵国立下功勋。后泛指为国立下巨大功勋。
渔人之利	渔人：比喻第三者。比喻双方争执不下，两败俱伤，让第三者占了便宜。
渔人得利	趁着双方争执不下而从中得到好处。
渔夺侵牟	渔夺：掠夺；侵牟：侵夺。指掠夺、榨取百姓财物。
渔海樵山	入海打鱼，上山砍柴。借指隐居生活。
渔经猎史	渔、猎：涉猎。泛览群经，博涉诸史。形容博览群书，知识广博。
渔翁之利	犹言渔人之利。
渔翁得利	渔翁：比喻第三者。比喻双方争执不下，两败俱伤，让第三者占了便宜。
渔阳鞞鼓	指公元755年安禄山于渔阳举兵叛唐事。鞞鼓，骑兵用的小鼓。后亦用为外族侵略之典。
渔阳鼙鼓	渔阳：地名，现河北省蓟县，唐时安禄山驻军在此；鼙鼓：古代军中用的小鼓。渔阳郡响起了战鼓。指有战事发生。
渟膏湛碧	渟：积水；膏：油脂；湛：深色；碧：青绿。形容水清如膏，颜色碧绿。
渡江亡楫	亡：同“无”；楫：船桨。过江时船上没有桨。比喻没有准备，没有必要的凭借。
渡河香象	渡：横渡江河。大象过河，脚踏河底。形容评论文字精辟透彻。
渣滓浊沫	渣滓：物品提炼后的废物；浊沫：混浊的泡沫。指无用之物。
渤澥桑田	渤澥，渤海的古称。大海变成桑田，桑田变成大海。犹沧海桑田。比喻世事变化巨大。
温凊定省	冬温夏凊、昏定晨省的省称。谓冬天温被，夏天扇席，晚上侍候睡定，早晨前往请安。表示侍奉父母无微不至。
温席扇枕	指侍奉父母无微不至。同“温枕扇席”。
温恭直谅	温恭：温和谦恭；直谅：性格正直，能谅解人。指和气、谦恭、正直、诚信的高尚品德。
温恭自虚	温恭：温和谦恭；虚：虚心。温顺谦恭而不自满。形容诚恳受教的好态度。
温情密意	指情意温柔亲密。
温情脉脉	脉脉：默默地用眼神或行动表达情意。形容饱含温和的感情，很想表露出来的样子。
温情蜜意	指情意温柔亲密。同“温情密意”。
温故知新	温：温习；故：旧的。温习旧的知识，得到新的理解和体会。也指回忆过去，能更好地认识现在。
温文儒雅	态度温和，举止文雅。
温文尔雅	温文：态度温和，有礼貌；尔雅：文雅。形容人态度温和，举动斯文。现有时也指缺乏斗争性，做事不大胆泼辣，没有闯劲。
温枕扇席	指侍奉父母无微不至。
温柔体贴	温顺关怀体贴。
温柔敦厚	温柔：温和柔顺；敦厚：厚道。原指态度温和，朴实厚道。后也泛指待人温和宽厚。
温润而泽	比喻人的态度、言语温和柔顺。
温清定省	冬天使被子温暖，夏日让室内清凉，晚间给父母安睡，早晨起来问候安好。形容对父母尽心侍奉。
温生绝裾	后用为去意坚决的典故。
温良俭让	温：温和；良：善良；俭：节制；让：忍让。儒家提倡待人接物的准则，泛指态度谦恭，举止文雅。
温良忍让	听他人意志的摆布、忍让、屈从。
温良恭俭	原意为温和、善良、恭敬、节俭等美德。这原是儒家提倡待人接物的准则。现也形容态度温和而缺乏斗争性。
温衾扇枕	指侍奉父母无微不至。同“温枕扇席”。
温香艳玉	比喻妇女的美好姿质。
温香软玉	温：温和；软：柔和；香、玉：女子的代称。旧小说形容女子的身体。
渭川千亩	用以言竹之繁茂。
渭浊泾清	泾水清，渭水浊。用以比喻事物和人品的差别。
渭阳之思	指甥舅间的思念、怀旧之情。
渭阳之情	渭阳：渭水的北边。传说秦康公送其舅重耳返晋，直到渭水之北。指甥舅间的情谊。
渲染烘托	渲染：国画的一种画法；烘托：国画的画法，用衬托手法使事物鲜明。指用衬托和夸张的艺术手法，突出主题。
渴尘万斛	形容十分想念。
渴心生尘	渴：迫切。形容非常想念。
渴者易饮	口渴的人喝什么都觉得甘甜。旧时比喻久经苛政而最知对德政感恩。
渴而掘井	到口渴才掘井。比喻事先没有准备，临时才想办法。
渴而穿井	比喻事先没准备，临时才想办法。
渴骥奔泉	骥：骏马。如同骏马口渴思饮，飞快奔赴甘泉一般。形容书法笔势矫健。也比喻迫切的欲望。
渴骥怒猊	骥：骏马；猊：狻猊，即狮子。口渴的骏马奔向泉水，如愤怒的狮子撬扒石头。形容书法遒劲奔放。
渴鹿奔泉	如同鹿口渴思饮，飞快奔赴甘泉一般。形容书法笔势矫健。也比喻迫切的欲望。
游丝飞絮	游动的蛛丝，飘盈的柳絮。比喻不由自主，随风而倒的轻浮之人。
游云惊龙	形容书法精妙。
游侠骑士	漫无目的浪游四方，寻求冒险以显示武功、勇敢、宽仁侠义的人。
游光扬声	流传荣誉，播扬名声。
游刃余地	犹游刃有余。比喻做事熟练，轻而易举。
游刃恢恢	游刃：自由地运转刀刃；恢恢：宽阔广大的样子。比喻技术熟练，操作轻松。
游刃有余	刀刃运转于骨节空隙中，在有回旋的余地。比喻工作熟练，有实际经验，解决问题毫不费事。
游刃皆虚	游刃：转动的刀锋；虚：空。刀锋所到之处都是空隙。形容技艺高超，运用熟练。
游响停云	形容响亮的歌声，高入云霄，能使流云受阻而停下来。
游回磨转	犹言团团转。形容不知道怎么办好。
游尘土梗	游尘：四处漂浮的尘土；土梗：指泥制的小人。比喻琐碎或轻贱的事物。
游居有常	常：正常，常规。外出或家居都要遵守常规。
游山玩景	游览、玩赏山水景物。同“游山玩水”。
游山玩水	游览、玩赏山水景物。
游山逛水	山、水：指风景；逛：闲游。游览、玩赏山水景物
游心寓目	指留心观看。
游心骇耳	发人遐想，动人听闻。
游心骋目	纵情品览，极目远眺。
游必有方	要是出游，必须要告辞去处。
游思妄想	犹言胡思乱想。指没有根据，不切实际的瞎想。
游戏三昧	原为佛家语，意思是排除杂念，使心神平静。也比喻事物的精义、决窍。后指用游戏的态度对待一切。
游戏人世	指把人生当作游戏的一种生活态度。同“游戏人间”。
游戏人间	原指人还活在世上。指把人生当作游戏的一种生活态度。
游戏尘寰	犹言游戏人间。指把人生当作游戏的一种生活态度。
游戏笔墨	指以游戏态度所写的诗文。
游戏翰墨	指以游戏态度所写的诗文。同“游戏笔墨”。
游手偷闲	指人游荡懒散，不愿参加劳动。同“游手好闲”。
游手好闲	指人游荡懒散，不愿参加劳动。
游目骋怀	游目：远眺；骋怀：放开胸怀，往远处想。纵目四望，开阔心胸。
游目骋观	纵目观望，尽览景物。
游移不定	游移：犹豫。犹豫不决，拿不定主意。
游荡不羁	游乐放荡，不受拘束。
游蜂戏蝶	飞舞游戏的蝴蝶和蜜蜂。后用以比喻浪荡子弟。
游蜂浪蝶	比喻态度轻佻好挑逗女子的人。
游行示威	广大群众为了庆祝、纪念、示威等在街上结队而行。
游谈无根	指没有根据信口乱说。
游辞巧饰	用没有根据的话多方掩饰。
游辞浮说	游离不定的言辞，浮夸滓的议论。
游闲公子	指游手好闲的富家子弟。
游骑无归	游骑：离队的骑兵。离队的骑兵，无处可归。比喻离了根本，得不到归宿。
游鱼出听	形容音乐美妙动听。
渺不足道	非常微小，不值得一谈。
渺无人烟	一片渺茫，没有人家。
渺无人踪	很少看见人的踪影，形容空旷寂静。
渺无人迹	看不见一个人的脚印。形容空旷寂静。亦作“渺无人踪”。
渺无影踪	看不到一点踪迹和影子。
渺无踪影	看不到一点踪迹和影子。亦作“渺无影踪”。
渺无边际	渺：邈远的样子。无边无际的样子。
渺无音信	渺：邈远的样子。指毫无消息
渺无音讯	指毫无消息。
渺渺茫茫	辽阔无际的样子。亦指模糊；不清楚。
渺然一身	渺然：微小的样子。孤孤单单一个人。形容力量微小。
渺若烟云	渺：渺茫；若：象。象烟云一样渺茫不清。比喻模糊不清，令人捉摸不定。
湔肠伐胃	湔：洗；伐：敲打。形容以聪慧代替原来的愚钝。
湖光山色	湖的风光，山的景色。指有水有山，风景秀丽。
湖吃海喝	放肆地大吃大喝。
湖海之士	旧时形容气慨豪放之人。
湖海飘零	飘零：飘泊。居无定所，四处飘泊。
湛恩汪濊	指恩泽深厚。
湛湛青天	湛湛：厚重的样子。比喻正义和公正。
湮坠无闻	湮：埋没；无闻：没有知道。名声被埋没，没人知道。
湮没不宣	湮：埋没。名声被埋没，没有宣传出去。
湮没不彰	湮：埋没；彰：明显。名声被埋没，没有宣扬。
湮没无闻	湮：埋没；无闻：没有知道。名声被埋没，没人知道。
湮没罕闻	湮：埋没；无闻：没有知道。名声被埋没，没人知道。
湮灭无闻	名声被埋没，没人知道
湿哭干啼	湿哭：有眼泪地啼哭；干啼：没有眼泪地啼哭。形容哭哭啼啼的样子。也泛指因苦楚而呈现出的各种表情。
溃不成军	溃：溃败，散乱。被打得七零八落，不成队伍。形容惨败。
溃兵游勇	指逃散的士兵。
溃冒冲突	溃：水冲破堤坝。洪水成灾，堤坝溃决。
源头活水	原比喻读书越多，道理越明。现也指事物发展的动力和源泉。
源广流长	源：源头；流：流程。源头很远，水流很长。比喻历史悠久
源殊派异	水流的源头不同，其支流各自不同。比喻学派、学说皆自立门户，各不相涉。
源泉万斛	比喻文思涌溢。
源深流长	源：河流的源头；流：流程。源头很深，水流很长。比喻历史悠久。
源清流净	源头的水清，下游的水自然就清。比喻因果相连，事物的本原好，其发展和结局也就好；或领导贤明，其下属也廉洁。同“源清流洁”。
源清流洁	源头的水清，下游的水也清。原比喻身居高位的人好，在下面的人也好。也比喻事物的因果关系。
源清流清	源头的水清，下游的水自然就清。比喻因果相连，事物的本原好，其发展和结局也就好；或领导贤明，其下属也廉洁。源，也作原。亦作“源清流洁”、“源清流净”。
源源不断	形容接连不断。
源源不竭	源源：水流不断的样子；竭：完。形容接连不断，没有尽头。
源源不绝	源源：水流不断的样子。形容接连不断。
源源本本	源头和根本。多用以指事情的始末。
源源而来	原指诸侯相继朝觐一辈子。后形容接连不断地到来。
源远根深	水源很远，树根很深。比喻基础牢固。
源远流长	源头很远，水流很长。比喻历史悠久。
溘先朝露	指生命比朝露消失得还快。形容死得过早。
溘焉长往	溘：忽然。指人突然死亡。
溘然而去	溘然：突然。指人忽然死去。
溘然而逝	溘然：突然。指人忽然死去。
溘然长往	溘：忽然。指人突然死亡，常作悼念死者用词。
溘然长逝	指死去。
溜之乎也	溜走（讽刺的、风趣的说法）。
溜之大吉	溜：趁人看不见走开；吉：吉祥。偷偷地跑掉为妙。
溜干二净	一点不剩，非常干净。
溜须拍马	拍马：拍马屁。比喻讨好奉承。
溢于文辞	溢：水满外流，引申为超过、超出。指深刻的内涵和丰富的思想情感通过文辞充分显露出来，甚至超过了文辞本身。
溢于言外	溢：水满外流，引申为超出。超出语言之外。指某种意思、感情通过语言文字充分表露出来。亦作“溢于言表”。
溢于言表	超出言语以外，指某种思想感情虽未说明却能使人体会出来。
溢巷填街	形容人非常多。
溢气坌涌	才气横溢，喷涌而出。
溢美之言	过分夸奖的话。
溢美之语	过分夸奖的话。
溢美之辞	溢：水满外溢，引申为过分。过分吹嘘的话语。亦作“溢美之言”。
溢美溢恶	溢：水满外流，引伸为过度。过分夸奖，过分指责。
溢言虚美	过甚其辞、不符合实际地称美。
溥博如天	溥：广大；溥、博：周遍广远。形容广阔，犹如无边的天空。
溥天同庆	遍天下的人一同欢庆。
溥天率土	指整个天下、四海之内。
溪壑无厌	溪壑：山里的溪流和深谷；厌：满足。比喻人的贪欲太大，难以满足。
溯本求源	溯：追寻；本：事物的根本；求：探索；源：源头。追寻根本，探求起源。比喻寻根究底。
溯水行舟	指逆水行船。
溯流从源	溯：逆流而上。顺支流上溯河源。比喻追根究底。
溯流徂源	溯：逆流而上；徂：往、到。顺支流上溯河源。比喻追根究底。
溯流求源	比喻寻究事物的起始演变。同“溯流穷源”。
溯流穷源	溯：逆流而上。往河流上游寻找发源的地方。比喻寻求事物的根源。
溯流而上	溯：逆流而上。逆着水流的方向行进。
溯流追源	犹溯流穷源。比喻寻究事物的起始演变。
溯源穷流	溯：逆流而上；源：河流发源的地方。原指逆流而上探寻河流的源头。现比喻探究和追溯事物的原由。
溯端竟委	指寻求事情从头到尾的经过。
溺心灭质	指淹没天然的心性，掩盖纯朴的本质。
溺爱不明	溺爱：十分宠爱。形容对子孙或晚辈过分宠爱，看不到他们的缺点。
滂沱大雨	滂沱：大雨的样子。形容雨下得很大。
滂渤怫郁	滂渤：水势怒激的样子；怫：形容忧愁或愤怒；怫郁：郁闷。指波涛激荡的情景。
滋蔓难图	本指野草滋生，难以消除。后以之比喻势力扩大了再要消灭它就很困难。
滑头滑脑	形容人狡诈、不诚实。也指圆滑，不肯负责任。
滑泥扬波	滑：同“淈”，搅浑，搞乱；扬波：激起波涛。把泥水搅浑，激起波浪。比喻随波逐流，不知自洁。
滑稽之雄	滑稽：古代流酒器，专能注吐酒，后则用双比喻人能言善辩；雄：有杰出才能的人。旧时指诙谐善辩，口才超群的人。
滓秽太清	滓秽：玷污，污辱；太清：天空。污染天空，比喻玷污清白。
滔天之势	滔天：漫天。形容势力极大。
滔天之罪	形容罪恶极大。
滔天大祸	滔天：漫天。形容遭到了极大的灾祸。
滔天大罪	滔天：漫天。比喻罪恶极大。
滔天罪行	滔天：漫天。弥天的大罪。比喻罪恶极大。
滔滔不尽	比喻像流水一样连续不断。同“滔滔不竭”。
滔滔不息	滔滔：波浪滚滚涌动，连续不断的样子。象流水那样毫不间断，永不停息。指话很多，说个不停。
滔滔不断	比喻像流水一样连续不断。
滔滔不穷	滔滔：波浪滚滚涌动，连续不断的样子。象流水那样毫不间断。指话很多，说个不停。
滔滔不竭	比喻像流水一样连续不断。
滔滔不绝	滔滔：形容流水不断。象流水那样毫不间断。指话很多，说起来没个完。
滔滔汩汩	滔滔：形容流水不断；汩汩：水流动的声音或样子。比喻说话连续不断。
滔滔滚滚	大水奔流的样子。常比喻说话连续不断。亦比喻声势浩大。
滕屠郑酤	屠：屠夫；酤：卖酒的人。旧时泛指鄙俗的人。
滕缄扃鐍	滕、缄：绳子；扃、鐍：箱柜上加锁的关钮。将紧锁的箱柜用绳索捆绑起来以防盗贼。后比喻固守政策。
滕薛争长	滕侯与薛侯争夺席位。指争夺尊位或首位。
滚汤泼雪	滚：液体沸腾；汤：开水。沸水倒在冰雪上，雪很快就溶化。形容极为容易。
滚汤浇雪	滚：液体沸腾；汤：开水。沸水倒在冰雪上，雪很快就溶化。形容极为容易，必然成功。
滚滚当潮	相继不断地掌握政权。
滚滚滔滔	连续不绝的样子。
滚滚而来	滚滚：指滔滔流水。形容波涛汹涌连续不断。比喻事物、言谈等连续不断。
滚瓜流水	形容说话极其熟练、流利。
滚瓜溜圆	指非常圆，滚圆。
滚瓜溜油	形容背得非常熟练。
滚瓜烂熟	象从瓜蔓上掉下来的瓜那样熟。形容读书或背书流利纯熟。
滚芥投针	滚动芥耔把针投到小孔里。比喻事情进展缓慢，成效很小。
滚鞍下马	迅速地离开鞍子跳到马下。
满不在乎	满：全；在乎：在意。丝毫不在意。形容对事情一点也不重视。
满不在意	全然不放在心上，不当一回事。
满园春色	整个园子里一片春天的景色。比喻欣欣向荣的景象。
满坐寂然	坐：同“座”，座位。全场静悄悄的。
满坐风生	座席之间飘来清风，使同座者都能感到。比喻来者神气不凡，光采动人。亦作“满座风生”。
满坑满谷	充满了谷，充满了坑。形容多得很，到处都是。
满城桃李	桃李：比喻学生。城中到处都有自己的学生。比喻学生很多。
满城风雨	城里到处刮风下雨。原形容重阳节前的雨景。后比喻某一事件传播很广，到处议论纷纷。
满天星斗	星斗：星的总称。布满天空的星星。比喻事情多而杂乱。后形容文章华美。
满山满谷	到处都是。形容非常多。
满山遍野	布满山岭田野。形容数量多或范围广。
满床叠笏	笏：古代朝见时大臣所执的手板，用以记事，指里指高官。床上堆积着高官所执的手板。比喻家门昌盛，做高官的很多。
满座风生	座席之间飘来清风，使同座者都能感到。形容来客神气不凡。光彩动人。
满心欢喜	形容非常高兴。
满怀信心	心中充满自信心。
满打满算	全部计算在内。
满满当当	形容很满的样子。
满满登登	极丰富的，富裕的，装得很多的。
满盘皆输	下棋时走错一步，整个棋就输掉。比喻因受某一局部的影响而使全局归于失败。
满目凄凉	所见的全是凄惨冷落的景象。
满目疮痍	比喻眼前看到的都是灾祸的景象。
满目荆榛	荆：荆条，灌木。榛：树丛。满眼看见的都是荆条和树丛。形容十分荒凉萧条的环境。
满目萧然	萧然：冷落的样子。满目是凄凉的景象。
满目青山	形容景色美好或形势大好。
满眼韶华	韶华：美好的时光，一般指春光。比喻到处都是欣欣向荣的景象。
满纸空言	满纸都是废话。形容文章空洞，毫无内容。
满而不溢	器物已满盈但不溢出。比喻有资财而不浪用，有才能而不自炫，善于节制守度。
满肚疑团	疑团：弄不清的问题。形容心里充满了疑问。
满脸春色	比喻满脸充满喜悦的笑容。
满脸春风	形容心情喜悦，满脸笑容。
满脸生花	满脸高兴的样子。
满腔义愤	满腔：充满心中。心中充满对不合理的事情的愤怒。
满腔怒火	满腔：充满心中；怒火：形容极大的愤怒。心里充满着极大的愤怒。
满腔悲愤	满腔：充满心中。心中充满悲痛愤怒。
满腔热忱	形容心里充满着热烈诚挚的感情。
满腔热枕	心里充满热烈真挚的感情。
满腔热血	满腔：充满心中。心中充满为正义而工作的热情。
满腹文章	比喻文章极好，很有才华。
满腹牢骚	牢骚：抑郁不平之感。一肚子的牢骚。形容心情极为抑郁，很不得意。
满腹狐疑	狐疑：象狐狸那样多疑。一肚子的疑惑。比喻疑惑不解的神态。
满腹珠玑	玑：不圆的珠子；珠玑：比喻优美的文章。形容人很有文才。
满腹疑团	疑团：许多弄不清的问题。形容心里充满了疑问。
满腹经纶	经纶：整理丝缕，引伸为人的才学、本领。形容人极有才干和智谋。
满腹诗书	比喻博学多才，知识丰富。
满舌生花	比喻能说会道。
满袖春风	衣袖飘曳生风。形容十分得意。
满谷满坑	充满了谷，充满了坑。形容多得很，到处都是。
满身是胆	形容胆量大，无所畏惧。
满车而归	满：满满地；归：返回。东西装得满满地回来。形容收获极丰富。
满载而归	载：装载；归：回来。装得满满地回来。形容收获很大。
满门抄斩	投没财产，杀戮全家。
满门英烈	满门：全家；英烈：英雄人物。全家人都是英雄人物。
满面含春	比喻心情喜悦舒畅，满脸笑容。
满面征尘	形容旅途奔波，忙碌劳累。
满面春风	春风：指笑容。比喻人喜悦舒畅的表情。形容和蔼愉快的面容。
满面红光	满面：整个面部。形容心情舒畅，精神健旺的样子。
满面羞惭	满脸现出了羞愧的表情。
满面羞愧	羞愧：感到羞耻和惭愧。满脸都表现出羞耻和惭愧的表情。形容因做错事而内疚和惭愧。
滥吏赃官	滥：贪得。贪污腐化的官吏。
滥官污吏	滥官：贪官。旧称贪财纳贿的官吏。
滥官酷吏	滥：贪得。贪污腐化和残酷统治的官吏。
滥用职权	指过分地或非法地行使自己掌握的权力。
滥竽充数	滥：失实的，假的。不会吹竽的人混在吹竽的队伍里充数。比喻无本领的冒充有本领，次货冒充好货。
滥竽自耻	没有真才实学却占了一席之位，自己感到有愧。
滥觞所出	觞：酒器；滥觞：使酒杯浮起来。原指江河的发源之处水很小，只能浮起酒杯。后用以指事物的起源。也比喻事物所起源的地方。
滴如车轴	滴：水滴，雨点。雨点大如车轴。形容雨大。
滴水不漏	一滴水也不外漏。形容说话、办事非常细致、周密，无懈可击。也形容钱财全部抓在手里，轻易不肯出手。
滴水不羼	形容十分纯正。
滴水成冰	水滴下去就结成冰。形容天气十分寒冷。
滴水成冻	滴：液体一点点落下；冻：凝结成冰。水滴下去就结成冰。形容天气十分寒冷。
滴水成河	比喻积少成多。
滴水穿石	水不断下滴，可以闹穿石头。比喻只要有恒心，不断努力，事情一定成功。
滴水难消	指虽菲薄之物也不能受用。
滴滴答答	重复的滴滴声或一连串轻快的声音或拍打。
滴粉搓酥	粉：脂粉；搓：搓摩；酥：润滑柔美。脸上薄施脂粉，用手搓摩润滑。形容女子肌肤柔嫩细腻。
滴酒不沾	一点酒也不喝。
滴里嘟噜	形容大大小小的一串东西高低不齐地挂在一起，显得很累赘，不利落。
滴里耷拉	物体下垂的样子。
滴露研朱	滴水研磨朱砂。指用朱笔评校书籍。
滴露研珠	指滴水磨墨。
漂母之恩	漂母：在水边漂洗衣服的老妇。指馈食于人的恩惠。
漂母之惠	漂母：在水边漂洗衣服的老妇。指馈食于人的恩惠。
漂母进饭	漂母：在水边漂洗衣服的老妇。指施恩而不望报答。
漂泊无定	飘泊：随水漂流或停留。随水飘流到哪里就停在哪里，没有一定的方向。比喻为了生活而四处奔走，生活不安定。
漂泊羁旅	飘泊：随水漂流或停泊；羁旅：作客他乡。比喻漂流异乡，没有一个固定的家。
漂浮不定	漂浮：停留在流体表面或悬浮在流体中。指人飘泊不定
漂漂亮亮	指外形美观，鲜明。
漂蓬断梗	飘飞的蓬草和随波逐流的植物断茎。比喻生活不安定，到处漂泊。
漂零蓬断	漂泊零落如蓬草一样随风飞转，转徙无常。
漆女忧鲁	鲁穆公时国事危急，漆室之女对国家深感忧虑。指不当政的人对国事担忧。
